GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-crud,com.hiberus.services.Impl,UserServiceImpl,59,84,3,3,7,22,8,7,5,7
user-crud,com.hiberus.models,User,8,42,0,0,1,8,2,7,2,7
user-crud,com.hiberus.models,User.UserBuilder,8,28,0,0,0,1,1,5,1,5
user-crud,com.hiberus.models,Pizza,112,9,22,0,3,1,19,1,8,1
user-crud,com.hiberus,ApplicationUsers,8,0,0,0,3,0,2,0,2,0
user-crud,com.hiberus.config,ConfigSwagger,15,0,0,0,5,0,2,0,2,0
user-crud,com.hiberus.config,ConfigData,52,0,0,0,16,0,3,0,3,0
user-crud,com.hiberus.controllers,UserController,88,0,4,0,22,0,10,0,8,0
user-crud,com.hiberus.exceptions,GlobalExceptionHandler,38,0,0,0,7,0,2,0,2,0
user-crud,com.hiberus.exceptions,UserNotFoundException,5,0,0,0,2,0,1,0,1,0
user-crud,com.hiberus.models.dto,CreateUserDto,0,10,0,0,0,3,0,3,0,3
